duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment=none,cost-of-living-adjustment=tc,cost-of-living-adjustment=tcf,working-hours,pension=empl_contr,pension=ret_allw,pension=none,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation=average,vacation=below_average,vacation=generous,longterm-disability-assistance,contribution-to-dental-plan=half,contribution-to-dental-plan=full,contribution-to-dental-plan=none,bereavement-assistance,contribution-to-health-plan=full,contribution-to-health-plan=half,contribution-to-health-plan=none,class
1,5,3.971739,3.913333,1,0,0,40,1,0,0,7.444444,2,0,11,1,0,0,1,1,0,0,1,1,0,0,good
2,4.5,5.8,3.913333,1,0,0,35,0,1,0,7.444444,4.870968,1,11,0,1,0,1,0,1,0,1,1,0,0,good
2.160714,3.803571,3.971739,3.913333,1,0,0,38,1,0,0,7.444444,5,0,11,0,0,1,1,1,0,0,1,0,1,0,good
3,3.7,4,5,0,1,0,38.039216,1,0,0,7.444444,4.870968,1,11.09434,0,1,0,1,1,0,0,1,1,0,0,good
3,4.5,4.5,5,1,0,0,40,1,0,0,7.444444,4.870968,0,12,1,0,0,1,1,0,0,1,0,1,0,good
2,2,2.5,3.913333,1,0,0,35,1,0,0,7.444444,6,1,12,1,0,0,1,1,0,0,1,1,0,0,good
3,4,5,5,0,1,0,38.039216,1,0,0,7.444444,4.870968,0,12,0,0,1,1,0,0,1,1,0,1,0,good
3,6.9,4.8,2.3,1,0,0,40,1,0,0,7.444444,3,0,12,0,1,0,1,1,0,0,1,1,0,0,good
2,3,7,3.913333,1,0,0,38,1,0,0,12,25,1,11,0,1,0,1,1,0,0,1,1,0,0,good
1,5.7,3.971739,3.913333,1,0,0,40,1,0,0,7.444444,4,0,11,0,0,1,1,0,1,0,1,1,0,0,good
3,3.5,4,4.6,1,0,0,36,1,0,0,7.444444,3,0,13,0,0,1,1,1,0,0,1,1,0,0,good
2,6.4,6.4,3.913333,1,0,0,38,1,0,0,7.444444,4,0,15,0,1,0,1,0,1,0,1,1,0,0,good
2,3.5,4,3.913333,1,0,0,40,1,0,0,7.444444,2,0,10,0,1,0,0,1,0,0,1,0,1,0,bad
3,3.5,4,5.1,0,0,1,37,1,0,0,7.444444,4,0,13,0,0,1,1,0,1,0,1,1,0,0,good
1,3,3.971739,3.913333,1,0,0,36,1,0,0,7.444444,10,0,11,0,0,1,1,1,0,0,1,1,0,0,good
2,4.5,4,3.913333,1,0,0,37,1,0,0,7.444444,4.870968,0,11,1,0,0,1,0,1,0,1,1,0,0,good
1,2.8,3.971739,3.913333,1,0,0,35,1,0,0,7.444444,2,0,12,0,1,0,1,1,0,0,1,1,0,0,good
1,2.1,3.971739,3.913333,0,1,0,40,0,1,0,2,3,0,9,0,1,0,1,1,0,0,1,0,0,1,bad
1,2,3.971739,3.913333,1,0,0,38,0,0,1,7.444444,4.870968,1,11,1,0,0,0,0,0,1,0,0,0,1,bad
2,4,5,3.913333,0,0,1,35,1,0,0,13,5,0,15,0,0,1,1,1,0,0,1,1,0,0,good
2,4.3,4.4,3.913333,1,0,0,38,1,0,0,7.444444,4,0,12,0,0,1,1,0,1,0,1,1,0,0,good
2,2.5,3,3.913333,1,0,0,40,0,0,1,7.444444,4.870968,0,11,0,1,0,1,1,0,0,1,1,0,0,bad
3,3.5,4,4.6,0,0,1,27,1,0,0,7.444444,4.870968,0,11.09434,0,1,0,1,1,0,0,1,1,0,0,good
2,4.5,4,3.913333,1,0,0,40,1,0,0,7.444444,4,0,10,0,0,1,1,1,0,0,1,1,0,0,good
1,6,3.971739,3.913333,1,0,0,38,1,0,0,8,3,0,9,0,0,1,1,1,0,0,1,1,0,0,good
